timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1750017983535,731,Get all characters,200,OK,Testing with localhost1 1-48,text,true,,340,154,100,100,http://localhost:3001//characters,731,0,237
1750017983646,621,Get all characters,200,OK,Testing with localhost1 1-41,text,true,,340,154,100,100,http://localhost:3001//characters,621,0,128
1750017983523,747,Get all characters,200,OK,Testing with localhost1 1-26,text,true,,340,154,100,100,http://localhost:3001//characters,747,0,257
1750017983637,635,Get all characters,200,OK,Testing with localhost1 1-74,text,true,,340,154,100,100,http://localhost:3001//characters,635,0,143
1750017983536,741,Get all characters,200,OK,Testing with localhost1 1-54,text,true,,340,154,100,100,http://localhost:3001//characters,741,0,245
1750017983547,733,Get all characters,200,OK,Testing with localhost1 1-45,text,true,,340,154,100,100,http://localhost:3001//characters,733,0,236
1750017984164,120,Get character by id,200,OK,Testing with localhost1 1-2,text,true,,264,155,100,100,http://localhost:3001//character/1,119,0,0
1750017984183,103,Get character by id,200,OK,Testing with localhost1 1-82,text,true,,264,155,100,100,http://localhost:3001//character/1,103,0,0
1750017983546,742,Get all characters,200,OK,Testing with localhost1 1-66,text,true,,340,154,100,100,http://localhost:3001//characters,742,0,255
1750017983565,728,Get all characters,200,OK,Testing with localhost1 1-65,text,true,,340,154,100,100,http://localhost:3001//characters,728,0,234
1750017983502,793,Get all characters,200,OK,Testing with localhost1 1-14,text,true,,340,154,100,100,http://localhost:3001//characters,793,0,296
1750017983661,635,Get all characters,200,OK,Testing with localhost1 1-7,text,true,,340,154,100,100,http://localhost:3001//characters,635,0,139
1750017983544,754,Get all characters,200,OK,Testing with localhost1 1-43,text,true,,340,154,100,100,http://localhost:3001//characters,754,0,258
1750017983539,761,Get all characters,200,OK,Testing with localhost1 1-23,text,true,,340,154,100,100,http://localhost:3001//characters,761,0,264
1750017983545,756,Get all characters,200,OK,Testing with localhost1 1-42,text,true,,340,154,100,100,http://localhost:3001//characters,756,0,260
1750017983539,764,Get all characters,200,OK,Testing with localhost1 1-34,text,true,,340,154,100,100,http://localhost:3001//characters,764,0,269
1750017983533,771,Get all characters,200,OK,Testing with localhost1 1-63,text,true,,340,154,100,100,http://localhost:3001//characters,771,0,276
1750017983499,806,Get all characters,200,OK,Testing with localhost1 1-16,text,true,,340,154,100,100,http://localhost:3001//characters,806,0,310
1750017983654,658,Get all characters,200,OK,Testing with localhost1 1-78,text,true,,340,154,100,100,http://localhost:3001//characters,658,0,156
1750017983665,649,Get all characters,200,OK,Testing with localhost1 1-80,text,true,,340,154,100,100,http://localhost:3001//characters,649,0,148
1750017983504,812,Get all characters,200,OK,Testing with localhost1 1-31,text,true,,340,154,100,100,http://localhost:3001//characters,812,0,311
1750017983539,779,Get all characters,200,OK,Testing with localhost1 1-3,text,true,,340,154,100,100,http://localhost:3001//characters,779,0,276
1750017983637,682,Get all characters,200,OK,Testing with localhost1 1-76,text,true,,340,154,100,100,http://localhost:3001//characters,682,0,180
1750017983539,782,Get all characters,200,OK,Testing with localhost1 1-64,text,true,,340,154,100,100,http://localhost:3001//characters,782,0,279
1750017983646,680,Get all characters,200,OK,Testing with localhost1 1-72,text,true,,340,154,100,100,http://localhost:3001//characters,680,0,173
1750017983647,683,Get all characters,200,OK,Testing with localhost1 1-69,text,true,,340,154,100,100,http://localhost:3001//characters,683,0,174
1750017983522,813,Get all characters,200,OK,Testing with localhost1 1-38,text,true,,340,154,100,100,http://localhost:3001//characters,813,0,300
1750017983635,703,Get all characters,200,OK,Testing with localhost1 1-73,text,true,,340,154,100,100,http://localhost:3001//characters,703,0,191
1750017983663,681,Get all characters,200,OK,Testing with localhost1 1-50,text,true,,340,154,100,100,http://localhost:3001//characters,681,0,164
1750017983617,728,Get all characters,200,OK,Testing with localhost1 1-68,text,true,,340,154,100,100,http://localhost:3001//characters,728,0,217
1750017983513,834,Get all characters,200,OK,Testing with localhost1 1-46,text,true,,340,154,100,100,http://localhost:3001//characters,834,0,322
1750017983514,834,Get all characters,200,OK,Testing with localhost1 1-27,text,true,,340,154,100,100,http://localhost:3001//characters,834,0,323
1750017984086,265,Get character by id,200,OK,Testing with localhost1 1-67,text,true,,264,155,100,100,http://localhost:3001//character/1,265,0,0
1750017983639,711,Get all characters,200,OK,Testing with localhost1 1-77,text,true,,340,154,100,100,http://localhost:3001//characters,711,0,199
1750017984086,267,Get character by id,200,OK,Testing with localhost1 1-30,text,true,,264,155,100,100,http://localhost:3001//character/1,267,0,0
1750017984087,270,Get character by id,200,OK,Testing with localhost1 1-53,text,true,,264,155,100,100,http://localhost:3001//character/1,270,0,0
1750017984087,275,Get character by id,200,OK,Testing with localhost1 1-24,text,true,,264,155,100,100,http://localhost:3001//character/1,275,0,0
1750017984086,281,Get character by id,200,OK,Testing with localhost1 1-61,text,true,,264,155,100,100,http://localhost:3001//character/1,281,0,0
1750017984088,283,Get character by id,200,OK,Testing with localhost1 1-17,text,true,,264,155,100,100,http://localhost:3001//character/1,283,0,0
1750017984088,291,Get character by id,200,OK,Testing with localhost1 1-51,text,true,,264,155,100,100,http://localhost:3001//character/1,291,0,0
1750017984090,293,Get character by id,200,OK,Testing with localhost1 1-6,text,true,,264,155,100,100,http://localhost:3001//character/1,293,0,0
1750017984090,297,Get character by id,200,OK,Testing with localhost1 1-10,text,true,,264,155,100,100,http://localhost:3001//character/1,297,0,0
1750017984093,297,Get character by id,200,OK,Testing with localhost1 1-13,text,true,,264,155,100,100,http://localhost:3001//character/1,297,0,0
1750017984094,300,Get character by id,200,OK,Testing with localhost1 1-19,text,true,,264,155,100,100,http://localhost:3001//character/1,300,0,0
1750017984094,304,Get character by id,200,OK,Testing with localhost1 1-49,text,true,,264,155,100,100,http://localhost:3001//character/1,304,0,0
1750017984094,307,Get character by id,200,OK,Testing with localhost1 1-60,text,true,,264,155,100,100,http://localhost:3001//character/1,307,0,0
1750017984095,310,Get character by id,200,OK,Testing with localhost1 1-32,text,true,,264,155,100,100,http://localhost:3001//character/1,310,0,0
1750017984096,315,Get character by id,200,OK,Testing with localhost1 1-37,text,true,,264,155,100,100,http://localhost:3001//character/1,315,0,0
1750017984096,318,Get character by id,200,OK,Testing with localhost1 1-15,text,true,,264,155,100,100,http://localhost:3001//character/1,318,0,0
1750017984101,317,Get character by id,200,OK,Testing with localhost1 1-9,text,true,,264,155,100,100,http://localhost:3001//character/1,316,0,0
1750017984107,315,Get character by id,200,OK,Testing with localhost1 1-33,text,true,,264,155,100,100,http://localhost:3001//character/1,315,0,0
1750017984105,324,Get character by id,200,OK,Testing with localhost1 1-70,text,true,,264,155,100,100,http://localhost:3001//character/1,324,0,0
1750017984112,323,Get character by id,200,OK,Testing with localhost1 1-29,text,true,,264,155,100,100,http://localhost:3001//character/1,323,0,0
1750017984116,322,Get character by id,200,OK,Testing with localhost1 1-62,text,true,,264,155,100,100,http://localhost:3001//character/1,322,0,0
1750017984136,310,Get character by id,200,OK,Testing with localhost1 1-25,text,true,,264,155,100,100,http://localhost:3001//character/1,309,0,0
1750017984146,302,Get character by id,200,OK,Testing with localhost1 1-52,text,true,,264,155,100,100,http://localhost:3001//character/1,302,0,0
1750017984151,298,Get character by id,200,OK,Testing with localhost1 1-59,text,true,,264,155,100,100,http://localhost:3001//character/1,298,0,0
1750017984152,299,Get character by id,200,OK,Testing with localhost1 1-36,text,true,,264,155,100,100,http://localhost:3001//character/1,299,0,0
1750017984157,297,Get character by id,200,OK,Testing with localhost1 1-56,text,true,,264,155,100,100,http://localhost:3001//character/1,297,0,0
1750017984169,290,Get character by id,200,OK,Testing with localhost1 1-12,text,true,,264,155,100,100,http://localhost:3001//character/1,290,0,0
1750017984171,289,Get character by id,200,OK,Testing with localhost1 1-28,text,true,,264,155,100,100,http://localhost:3001//character/1,289,0,0
1750017984176,286,Get character by id,200,OK,Testing with localhost1 1-55,text,true,,264,155,100,100,http://localhost:3001//character/1,286,0,0
1750017984183,283,Get character by id,200,OK,Testing with localhost1 1-1,text,true,,264,155,100,100,http://localhost:3001//character/1,283,0,0
1750017984188,279,Get character by id,200,OK,Testing with localhost1 1-21,text,true,,264,155,100,100,http://localhost:3001//character/1,279,0,0
1750017984188,282,Get character by id,200,OK,Testing with localhost1 1-87,text,true,,264,155,100,100,http://localhost:3001//character/1,281,0,0
1750017984193,278,Get character by id,200,OK,Testing with localhost1 1-83,text,true,,264,155,100,100,http://localhost:3001//character/1,277,0,0
1750017984197,275,Get character by id,200,OK,Testing with localhost1 1-86,text,true,,264,155,100,100,http://localhost:3001//character/1,275,0,0
1750017984198,280,Get character by id,200,OK,Testing with localhost1 1-47,text,true,,264,155,100,100,http://localhost:3001//character/1,280,0,0
1750017984200,282,Get character by id,200,OK,Testing with localhost1 1-71,text,true,,264,155,100,100,http://localhost:3001//character/1,282,0,0
1750017984201,283,Get character by id,200,OK,Testing with localhost1 1-44,text,true,,264,155,100,100,http://localhost:3001//character/1,283,0,0
1750017984203,283,Get character by id,200,OK,Testing with localhost1 1-79,text,true,,264,155,100,100,http://localhost:3001//character/1,283,0,0
1750017984204,284,Get character by id,200,OK,Testing with localhost1 1-75,text,true,,264,155,100,100,http://localhost:3001//character/1,284,0,0
1750017984215,276,Get character by id,200,OK,Testing with localhost1 1-40,text,true,,264,155,100,100,http://localhost:3001//character/1,276,0,0
1750017984218,275,Get character by id,200,OK,Testing with localhost1 1-20,text,true,,264,155,100,100,http://localhost:3001//character/1,275,0,0
1750017984221,273,Get character by id,200,OK,Testing with localhost1 1-22,text,true,,264,155,100,100,http://localhost:3001//character/1,273,0,0
1750017984227,268,Get character by id,200,OK,Testing with localhost1 1-8,text,true,,264,155,100,100,http://localhost:3001//character/1,268,0,0
1750017984232,264,Get character by id,200,OK,Testing with localhost1 1-18,text,true,,264,155,100,100,http://localhost:3001//character/1,264,0,0
1750017984234,263,Get character by id,200,OK,Testing with localhost1 1-35,text,true,,264,155,100,100,http://localhost:3001//character/1,263,0,0
1750017984236,266,Get character by id,200,OK,Testing with localhost1 1-39,text,true,,264,155,100,100,http://localhost:3001//character/1,266,0,0
1750017984368,143,Create character ,201,Created,Testing with localhost1 1-61,text,true,,277,249,100,100,http://localhost:3001//character,143,0,0
1750017984402,110,Create character ,201,Created,Testing with localhost1 1-60,text,true,,277,249,100,100,http://localhost:3001//character,110,0,0
1750017983498,1016,Get all characters,200,OK,Testing with localhost1 1-57,text,true,,416,154,100,100,http://localhost:3001//characters,1016,0,342
