timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1750018172777,931,Get all characters,200,OK,Testing with localhost2 1-437,text,true,,340,154,704,704,http://localhost:3001//characters,931,0,1
1750018173635,5,Get all characters,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:3001 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Testing with localhost2 1-691,text,false,,2631,0,704,704,http://localhost:3001//characters,0,0,5
1750018173632,8,Get all characters,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:3001 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Testing with localhost2 1-694,text,false,,2631,0,704,704,http://localhost:3001//characters,0,0,8
1750018173552,88,Get all characters,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:3001 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Testing with localhost2 1-667,text,false,,2631,0,704,704,http://localhost:3001//characters,0,0,88
1750018173635,6,Get all characters,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:3001 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Testing with localhost2 1-700,text,false,,2631,0,704,704,http://localhost:3001//characters,0,0,6
1750018173628,5,Get all characters,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:3001 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Testing with localhost2 1-698,text,false,,2631,0,704,704,http://localhost:3001//characters,0,0,5
1750018173634,7,Get all characters,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:3001 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Testing with localhost2 1-590,text,false,,2631,0,704,704,http://localhost:3001//characters,0,0,7
1750018173618,10,Get all characters,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:3001 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Testing with localhost2 1-701,text,false,,2631,0,704,704,http://localhost:3001//characters,0,0,10
1750018173626,14,Get all characters,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:3001 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Testing with localhost2 1-690,text,false,,2631,0,704,704,http://localhost:3001//characters,0,0,14
1750018173629,8,Get all characters,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:3001 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Testing with localhost2 1-695,text,false,,2631,0,704,704,http://localhost:3001//characters,0,0,8
1750018173517,94,Get all characters,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:3001 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Testing with localhost2 1-659,text,false,,2631,0,704,704,http://localhost:3001//characters,0,0,94
1750018173616,5,Get all characters,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:3001 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Testing with localhost2 1-689,text,false,,2631,0,704,704,http://localhost:3001//characters,0,0,5
1750018173626,5,Get all characters,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:3001 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Testing with localhost2 1-699,text,false,,2631,0,704,704,http://localhost:3001//characters,0,0,5
1750018173613,3,Get all characters,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:3001 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Testing with localhost2 1-682,text,false,,2631,0,704,704,http://localhost:3001//characters,0,0,2
1750018173533,7,Get all characters,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:3001 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Testing with localhost2 1-583,text,false,,2631,0,704,704,http://localhost:3001//characters,0,0,7
1750018173552,64,Get all characters,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:3001 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Testing with localhost2 1-688,text,false,,2631,0,704,704,http://localhost:3001//characters,0,0,64
1750018173527,3,Get all characters,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:3001 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Testing with localhost2 1-672,text,false,,2631,0,704,704,http://localhost:3001//characters,0,0,3
1750018173494,2,Get all characters,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:3001 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Testing with localhost2 1-648,text,false,,2631,0,704,704,http://localhost:3001//characters,0,0,2
1750018172729,528,Get all characters,200,OK,Testing with localhost2 1-367,text,true,,340,154,575,575,http://localhost:3001//characters,528,0,1
